Debates,Date,word_count,JustClean,JustAfford,JustReliable,JustSustain,JustModern,CleanSent,AffordSent,ReliableSent,SustainSent,ModernSent,GreenJobSent,ScientistSent
Draft Energy Performance of Buildings (England and Wales) (Amendment) Regulations 2021 ,2021-03-08,1557,0,1,0,0,0,0,0,0,0,0,0,0
"Business, Energy and Industrial Strategy ,Energy Efficiency in Homes ,Energy Transition Projects in Scotland ",2021-03-23,11624,8,6,0,0,1,8,4,0,0,0,2,0
Energy-efficient House Building ,2021-04-19,437,0,0,0,0,0,0,0,0,0,0,0,0
"Business, Energy and Industrial Strategy ,Clean Energy ,Energy Transition Projects_ Scotland ,Renewable Energy_ Carbon Budget ",2021-05-25,11273,18,0,0,4,0,15,0,0,2,0,5,0
Draft Ecodesign for Energy-Related Products and Energy Information Regulations 2021 ,2021-06-08,1933,2,0,0,0,0,2,0,0,0,0,0,0
Green Energy in the North-west ,2021-06-23,8596,10,3,2,3,0,10,1,2,2,0,2,0
Renewable Energy Infrastructure Funding ,2021-06-30,260,0,0,0,0,0,0,0,0,0,0,2,0
Enabling Community Energy ,2021-07-01,12941,11,1,0,13,2,13,2,0,9,0,1,0
"AQUIND Energy Interconnector ,Business, Energy and Industrial Strategy ,Energy Production and Efficiency ,Solar Energy ",2021-07-06,11258,14,0,0,4,1,14,0,0,4,0,5,0
Draft European Union and European Atomic Energy Community (Immunities and Privileges) Order 2021 ,2021-07-12,1714,0,0,0,0,0,0,0,0,0,0,0,0
"Emerging Markets Exports_ Energy and Renewables ,Geothermal Energy_ Net Zero Target ",2021-07-14,611,4,0,0,0,0,3,0,0,0,0,0,0
United Kingdom Atomic Energy Authority Pension Transfers (Parliamentary And Health Service Ombudsman Investigation) ,2021-07-21,1214,0,0,0,0,0,0,0,0,0,0,0,0
"Business, Energy and Industrial Strategy Committee ",2021-07-22,2809,0,0,0,0,0,0,0,0,0,0,0,0
Draft Ecodesign for Energy-related Products and Energy Information (Lighting Products) Regulations 2021 ,2021-09-08,2435,0,0,0,0,0,0,0,0,0,0,0,0
Geothermal Energy ,2021-09-15,9979,10,2,5,2,0,9,2,2,2,0,2,0
"Business, Energy and Industrial Strategy ",2021-09-21,9997,0,5,0,4,0,0,0,0,1,0,1,0
Gas Prices and Energy Suppliers ,2021-09-23,5260,0,0,0,1,0,0,0,0,0,0,1,0
Clean Energy_ Safeguarding of Human Rights ,2021-10-20,256,2,0,0,0,0,2,0,0,0,0,0,0
"Nuclear Energy (Financing) Bill ,Renewables and Green Energy_ Onshore Employment ",2021-11-03,25136,15,5,10,2,1,11,5,7,1,0,0,0
"Business, Energy and Industrial Strategy ,Energy-intensive Businesses ,Nuclear Energy (Financing) Bill (First sitting) ,Nuclear Energy (Financing) Bill (Second sitting) ,Offshore Wind Energy ,Renewable Energy ",2021-11-16,46050,13,2,7,4,1,6,2,2,3,0,0,0
Rising Energy Costs_ Impact on Industry and Businesses ,2021-11-17,592,0,0,0,0,0,0,0,0,0,0,0,0
"Nuclear Energy (Financing) Bill (Fourth sitting) ,Nuclear Energy (Financing) Bill (Third sitting) ",2021-11-18,33107,0,0,2,0,0,0,0,2,0,0,0,0
Nuclear Energy (Financing) Bill (Fifth sitting) ,2021-11-23,14333,0,1,0,0,0,0,3,0,0,0,0,0
"Bulb Energy_ Administration ,Energy-intensive Industries ",2021-11-24,18026,5,2,4,3,4,3,5,6,2,0,0,0
"Nuclear Energy (Financing) Bill (Sixth sitting) ,Tidal Energy Generation_  Ringfenced Funding ",2021-11-25,15304,2,0,0,0,0,2,0,0,0,0,3,0
Community Energy Schemes ,2021-11-30,13692,9,1,0,7,0,9,0,0,6,0,1,0
Renewable Energy Generation ,2021-12-15,975,0,0,0,0,0,0,0,0,0,0,0,0
"Baglan Energy Park_ Power Supply ,Renewable Energy Generation_ North Wales ",2022-01-05,1006,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear Energy (Financing) Bill ,2022-01-10,21549,3,2,10,2,2,3,5,9,1,1,0,0
"Baglan Energy Park ,Business, Energy and Industrial Strategy ,Energy Transition Projects ,Household Energy Bills_ VAT ",2022-01-11,39478,8,3,2,8,1,7,4,2,5,0,1,0
Small Modular Reactors and Energy Security ,2022-01-19,5102,7,2,0,0,0,5,2,1,0,0,0,0
Community Energy Projects ,2022-01-25,599,0,0,0,0,0,0,0,0,0,0,0,0
Sutton Decentralised Energy Network ,2022-02-04,3854,1,1,1,1,0,0,0,0,0,0,0,0
"Business, Energy and Industrial strategy ,Energy Price Cap_ Prepayment Meter Customers ,Energy Sector Jobs ,Small Businesses_ Energy Costs ,Solar Energy_ Agricultural Land ",2022-02-22,12012,15,0,1,0,0,12,0,0,0,0,5,0
Energy Pricing (Off Gas Grid Households) ,2022-02-23,1408,1,0,0,0,0,1,0,0,0,0,0,0
"Consett Energy from Waste Plant ,Draft Energy Performance of Buildings (England and Wales) (Amendment) Regulations 2022 ",2022-03-08,3988,1,0,0,1,0,0,0,0,0,0,0,0
Renewable Energy Generation ,2022-03-16,257,0,0,0,0,0,0,0,0,0,0,0,0
Energy ,2022-03-23,2895,2,0,0,0,0,1,0,0,0,0,0,0
"Business, Energy and Industrial Strategy ,Energy Price Increase in April 2022 ,Energy Security_ Nuclear Power ,Energy Transition Projects in Scotland ,Investment in Renewables_ Household Energy Bills ,Renewable Energy Sector ,Standing Charges on Energy Bills ",2022-03-29,14496,4,0,0,4,3,4,0,0,3,0,0,0
Energy Costs for Disabled People ,2022-03-30,276,0,0,0,0,0,0,0,0,0,0,0,0
Energy Security Strategy ,2022-04-19,6875,6,0,0,1,1,9,2,0,3,1,1,0
"Domestic Solar Energy ,Energy Price Cap_ Residential Buildings with Communal Heating Systems ",2022-04-20,7929,1,0,0,1,1,1,0,0,0,0,0,0
Exports of Renewable Energy Services ,2022-04-21,369,0,0,0,1,0,0,0,0,1,0,0,0
Energy Bills Support Scheme_ Council Tax Rebate ,2022-05-17,253,0,0,0,0,0,0,0,0,0,0,0,0
Government’s Energy Security Strategy ,2022-05-18,597,2,1,1,0,0,4,1,1,0,0,0,0
"Affordable Energy_ Winter 2022-23 ,Business, Energy and Industrial Strategy ,Energy Efficiency_ Domestic Buildings ,Energy Price Cap ,Fusion Energy ,Renewable Energy ",2022-06-07,13022,9,8,0,1,1,8,8,0,3,1,0,0
Domestic Renewable Energy ,2022-06-15,575,2,0,0,0,0,2,0,0,0,0,0,0
"Energy (Oil and Gas) Profits ,Energy Security Strategy ",2022-07-05,19435,4,4,5,2,0,4,6,3,1,0,0,0
"Energy-intensive Industries ,Home Energy Efficiency_  North of England ",2022-07-06,16493,3,0,0,0,0,2,3,0,0,0,5,0
"Energy (Oil and Gas) Profits Levy Bill ,Energy (Oil and Gas) Profits Levy Bill2 ",2022-07-11,22811,7,0,0,2,0,4,0,0,1,0,1,0
"Business, Energy and Industrial Strategy ,Community-owned Energy Projects ,Energy Price Cap_ Living Standards ,Energy Price Cap_ Living Standards2 ,Energy Price Rises ,Energy Price Rises2 ",2022-07-12,12439,15,0,1,1,0,14,2,1,1,0,0,0
Draft Electricity and Gas (Energy Company Obligation) Order 2022 ,2022-07-18,7861,2,1,0,2,0,2,0,0,2,0,0,0
Climate Targets_ Energy Efficiency ,2022-07-20,797,0,0,0,0,2,0,0,0,0,0,0,0
Energy Update ,2022-09-05,11644,6,0,0,0,0,5,1,0,0,0,0,0
UK Energy Costs ,2022-09-08,28885,6,3,1,0,0,5,3,1,0,0,0,0
"Energy crisis support for small and medium sized businesses, the public sector and charities ,Energy Prices_ Support for Business ",2022-09-22,10539,0,0,2,2,0,1,1,1,0,0,0,0
Energy Costs in Wales ,2022-10-11,11956,2,1,0,1,0,2,2,0,1,0,0,0
Domestic Energy Costs ,2022-10-12,541,0,0,0,0,0,0,0,0,0,0,0,0
"Energy Efficiency_ Guidance to Homeowners ,Energy Prices Bill ,Energy Prices Bill2 ,£150 Council Tax Energy Rebate ",2022-10-17,26173,5,1,1,2,0,3,7,2,3,0,1,0
"Domestic Energy Costs_ Differential Between Wales and Rest of UK ,Energy Costs (Pre-payment Meters and Social Tariffs) ,Off-grid Homes_ Energy Support ",2022-10-19,6747,1,1,0,0,1,0,2,0,0,0,0,0
"Business, Energy and Industrial Strategy ,Businesses_ Energy Costs in 2023 ,Marine Energy ,SMEs_ Energy Price Cap ,Support for Energy Customers_ April 2023 ,Support for Energy Customers_ Winter 2022-23 ",2022-10-25,13783,3,5,0,0,0,4,3,0,0,0,3,0
Public Ownership of Energy Companies ,2022-10-31,14610,10,2,1,1,3,11,5,1,1,3,0,0
"BUSINESS, ENERGY AND INDUSTRIAL STRATEGY ",2022-11-01,31,0,0,0,0,0,0,0,0,0,0,0,0
International Energy Self-sufficiency ,2022-11-02,580,0,0,0,0,0,0,0,0,0,0,0,0
Energy Sector_ Trade Opportunities ,2022-11-03,1025,0,0,0,0,0,0,0,0,0,0,0,0
Energy Bill Relief Scheme Regulations 2022 14 November ,2022-11-14,5476,0,0,0,0,0,0,0,0,0,0,0,0
"Cost of Energy_ Support for Families ,Energy Profits Levy ",2022-11-15,1417,0,0,0,0,0,0,0,0,1,0,0,0
"Energy Bills_ Support for Households in Scotland ,Energy Price Support_ Northern Ireland ",2022-11-16,4615,0,0,0,0,0,0,0,0,0,0,0,0
Energy Bill Relief Scheme Pass-through Requirement (Heat Suppliers) (England and Wales and Scotland) Regulations 2022 ,2022-11-21,6036,0,0,0,0,0,0,0,0,0,0,0,0
Energy (oil and gas) profits levy ,2022-11-22,47419,2,7,0,6,5,2,5,0,2,0,0,0
Energy Security ,2022-11-23,387,0,0,0,0,0,0,0,0,0,0,0,0
"Business, Energy and Industrial Strategy ,Community Energy Sector ,Energy Price Guarantee ,Energy Price Guarantee_ Impact on Households ,Energy Security ,Energy Support ,Off-grid Energy Support ",2022-11-29,20762,13,4,1,9,1,11,3,1,6,4,0,0
Energy Bills Support Scheme_  Northern Ireland ,2022-11-30,2942,0,0,0,0,0,0,0,0,0,0,0,0
Cost of Energy_ People with Disabilities ,2022-12-05,632,0,0,0,0,0,0,0,0,0,0,0,0
Sustainable Energy Generation_  Burning Trees ,2022-12-06,13201,1,0,3,22,0,3,0,2,22,0,0,0
Park Homes Energy Support ,2022-12-07,390,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine_ Energy Supplies ,2022-12-13,249,0,0,0,0,0,0,0,0,0,0,0,0
"Energy Costs_ Fiscal Support ,Energy Costs_ Fiscal Support2 ,Energy Producer Profit Trends ",2022-12-20,1684,0,0,0,0,0,0,0,0,0,0,0,0
"Energy Bill Relief Scheme Pass-through Requirement (Heat Suppliers) (Amendment) Regulations 2022 ,Non-domestic Energy Support ",2023-01-09,16690,0,0,0,4,0,0,2,0,2,0,0,0
Strangford Lough_ Tidal Wave Energy ,2023-01-10,4630,6,3,1,3,0,7,3,1,2,0,0,0
Energy Bill Support ,2023-01-11,420,1,1,0,0,0,1,1,0,0,0,0,0
"Business, Energy and Industrial Strategy ,Cost of Energy_ Ceramics Sector ,Energy Bills Support Scheme_ Alternative Funding ,Energy Costs_ Support for Businesses ,Energy Transition Projects_ Scotland ,Household Energy Bills ,Pre-payment meter energy customers and self-disconnection ",2023-01-17,19149,3,3,0,3,0,2,2,0,2,0,0,0
Pre-payment meter energy customers  and forcible transfer ,2023-01-18,351,0,0,0,0,0,0,0,0,0,0,0,0
"Energy Bills_ Self-disconnection ,Pre-payment Meter Energy Customers and Higher Costs ",2023-01-25,7772,0,0,0,0,0,0,4,0,0,0,0,0
Energy Bill Relief Scheme (Non-Standard Cases) Regulations ,2023-01-30,3986,0,0,0,0,0,0,0,0,0,0,0,0
Green Energy Potential_ Scotland ,2023-01-31,4619,3,1,0,4,0,3,2,0,2,0,0,0
Energy Bills Support Scheme and Alternative Fuel Payment Pass-through Requirement (Northern Ireland) Regulations 2023 ,2023-02-06,260,0,0,0,0,0,0,0,0,0,0,0,0
"Businesses_ Energy Costs ,Economy_ Impact of Changes in Energy Support Schemes ,Energy Bills_ Support for Households ,Wind and Solar Energy_ Short-term Investment ",2023-02-07,3105,0,0,0,1,0,0,1,0,1,0,0,0
Building Regulations_ Energy Efficiency ,2023-02-20,222,0,0,0,0,0,0,0,0,0,0,0,0
"Energy Suppliers_ Customer Credit ,Renewable Energy ",2023-02-22,10612,0,0,0,0,0,0,0,0,0,0,0,0
"Energy Bill Support_ Heat Network Customers ,Energy Bills_ Alternative Fuels ,Energy Bills_ Support for Businesses ,Energy Charter Treaty ,Energy Price Guarantee_ Fuel Poverty ,Energy Security and Net Zero ,Household Energy Efficiency Measures ,Renewable Energy Production ",2023-02-28,14234,4,4,0,3,0,2,2,0,2,0,2,0
Renewable Energy ,2023-03-01,715,1,0,0,0,0,1,0,0,0,0,0,0
Energy ,2023-03-07,5202,0,0,0,0,0,0,0,0,0,0,0,0
Energy Bills_ Impact on Disabled People ,2023-03-08,176,0,0,0,0,0,0,0,0,0,0,0,0
"12. Energy (oil and gas) profits levy (de-carbonisation allowance) ,Cost of Energy ,Energy Charter Treaty ,Energy Support for Farms ",2023-03-21,12252,9,0,0,2,2,8,0,0,4,3,0,0
"Energy Trilemma ,Energy-intensive Industries ",2023-03-23,18107,7,11,2,12,0,10,14,2,10,0,1,0
Minimum Energy Performance of Buildings Bill ,2023-03-24,2263,0,0,0,0,0,0,0,0,0,0,1,0
"Clean Energy Technologies_ Private Sector Investment ,Energy Bill Relief Scheme ,Energy Efficiency Measures_ Installation ,Energy Price Guarantee Extension ,Energy Security and Net Zero ,Energy Transition Projects in Scotland ,Renewable Energy Projects_ Connection to the Grid ",2023-04-18,15117,7,2,0,2,0,9,0,0,2,0,0,0
Energy Suppliers and Consumer Rights ,2023-04-25,3649,0,0,1,0,0,0,2,0,0,0,0,0
"Energy Bill [Lords] ,Energy Costs_ Support for Businesses ",2023-05-09,40239,28,4,6,20,0,24,7,6,15,0,3,0
Renewable Energy ,2023-05-17,1384,0,0,0,0,0,0,0,0,0,0,0,0
Energy Bills Discount Scheme Regulations ,2023-05-22,4592,0,0,0,0,0,0,0,0,0,0,0,0
"Energy Bill [ Lords ] (First sitting) ,Energy Bill [ Lords ] (Second sitting) ,Energy Security and Net Zero ,Energy Transition Projects_ Scotland ,Fixed-term Energy Contracts_ Hospitality Industry ,Fixed-term Energy Contracts_ SMEs ,Nuclear Fusion_ Energy Provision ",2023-05-23,41021,5,2,2,4,0,4,3,2,3,0,13,0
"Energy-intensive Industries_ Decarbonisation ,Renewable Energy Support ",2023-05-24,812,0,0,0,0,0,0,0,0,0,0,0,0
Energy Bill [ Lords ] (Third sitting) ,2023-05-25,10548,0,0,0,0,0,0,0,0,0,0,0,0
"Energy Bill [ Lords ] (Fifth sitting) ,Energy Bill [ Lords ] (Fourth sitting) ",2023-06-06,26168,6,0,1,1,0,1,1,0,1,0,2,0
"Deep Geothermal Energy ,Energy Bill [ Lords  ] (Seventh sitting) ,Energy Bill [ Lords ] (Sixth sitting) ",2023-06-08,33904,7,0,0,7,2,6,0,0,8,0,0,0
"Energy Bill [ Lords ] (Eighth sitting) ,Energy Bill [ Lords ] (Ninth sitting) ",2023-06-13,28650,3,5,2,1,0,4,2,1,1,0,0,0
"Energy Bill [ Lords  ] (Eleventh sitting) ,Energy Bill [ Lords ] (Tenth sitting) ",2023-06-15,20564,0,0,1,0,0,0,0,1,0,0,0,0
"Cost of Living_ Energy Prices ,Energy Bill  [Lords]  (Thirteenth sitting) ,Energy Bill [ Lords ] (Twelfth sitting) ",2023-06-20,24986,2,0,3,1,0,2,0,1,1,0,1,0
"Energy Bill [ Lords ] (Fifteenth sitting) ,Energy Bill [ Lords ] (Fourteenth sitting) ",2023-06-22,40511,1,0,0,2,1,1,0,0,2,0,1,0
"Energy Bill [ Lords ] (Seventeenth sitting) ,Energy Bill [ Lords ] (Sixteenth sitting) ,Energy Company Obligation Schemes ",2023-06-27,43005,7,1,1,2,2,8,3,2,4,2,17,0
"Draft International Atomic Energy Agency (Immunities and Privileges) (Amendment) Order 2023 ,Support for the Energy Industry ",2023-06-28,1451,0,0,0,0,0,0,1,0,1,0,0,0
Energy Bill [ Lords ] (Eighteenth sitting) ,2023-06-29,15668,2,1,0,0,1,2,1,0,0,3,0,0
Draft Electricity and Gas (Energy Company Obligation) Order 2023 ,2023-07-03,3399,0,0,0,0,0,0,0,0,0,0,0,0
"Clean Energy Projects_ Planning System ,Clean Energy Technology_ Private Sector Investment ,Community Energy Projects ,Energy and Trade Intensive Industries ,Energy Costs_ Support for Households ,Energy Intensive Industries_ Decarbonisation ,Energy Security and Net Zero ,Energy Security_ Gas Imports from Russia ,Energy Transition Projects_ Scotland ",2023-07-04,14378,15,0,2,3,0,13,0,2,1,0,5,0
Energy Infrastructure ,2023-07-05,24368,12,4,5,4,0,12,6,5,6,1,2,0
Renewable Energy in the  East of England ,2023-07-11,4121,3,0,0,0,0,3,0,0,0,0,1,0
Oil Production and Domestic Energy Prices ,2023-07-12,256,0,0,0,0,0,0,0,0,0,0,0,0
Energy Bill [Lords] ,2023-09-05,62908,12,12,2,37,3,17,10,1,34,1,0,0
Energy Supply Market_ Small Businesses ,2023-09-13,8114,2,0,0,0,0,2,1,0,4,0,0,0
"Domestic Nuclear Energy ,Energy Security and Net Zero ,Energy-intensive Industries_ Decarbonisation ,Renewable Energy Sector_ High-skilled Jobs ",2023-09-19,11418,7,1,1,1,1,8,1,2,1,0,12,0
"Energy Bill [Lords] ,Energy Costs ,Green Energy_ Ports ",2023-10-18,19017,10,1,1,3,0,10,1,1,2,0,1,0
Cost of Energy_ Dalmarnock ,2023-10-24,4465,0,2,0,0,0,0,2,0,0,0,0,0
Renewable Energy Providers_ Planning Considerations ,2023-10-25,13413,0,0,0,2,0,0,0,0,1,0,0,0
